Continent,Region,Country,Capital,ISO (3)
Asia,South Asia,Afghanistan,Kabul,AFG
Europe,South East Europe,Albania,Tirana,ALB
Africa,Northern Africa,Algeria,Algiers,DZA
Oceania,Pacific,American Samoa,Pago Pago,ASM
Europe,South West Europe,Andorra,Andorra la Vella,AND
Africa,Southern Africa,Angola,Luanda,AGO
Americas,West Indies,Anguilla,The Valley,AIA
Americas,West Indies,Antigua and Barbuda,Saint John's,ATG
Americas,South America,Argentina,Buenos Aires,ARG
Asia,South West Asia,Armenia,Yerevan,ARM
Americas,West Indies,Aruba,Oranjestad,ABW
Oceania,Pacific,Australia,Canberra,AUS
Europe,Central Europe,Austria,Vienna,AUT
Asia,South West Asia,Azerbaijan,Baku (Baki),AZE
Americas,West Indies,"Bahamas, The",Nassau,BHS
Asia,South West Asia,Bahrain,Manama,BHR
Asia,South Asia,Bangladesh,Dhaka,BGD
Americas,West Indies,Barbados,Bridgetown,BRB
Europe,Eastern Europe,Belarus,Minsk,BLR
Europe,Western Europe,Belgium,Brussels,BEL
Americas,Central America,Belize,Belmopan,BLZ
Africa,Western Africa,Benin,Porto-Novo ³,BEN
Americas,West Indies,Bermuda,Hamilton,BMU
Asia,South Asia,Bhutan,Thimphu,BTN
Americas,South America,Bolivia,La Paz / Sucre,BOL
Europe,South East Europe,Bosnia and Herzegovina,Sarajevo,BIH
Africa,Southern Africa,Botswana,Gaborone,BWA
Americas,South America,Brazil,Brasilia,BRA
Americas,West Indies,British Virgin Islands,Road Town,VGB
Asia,South East Asia,Brunei,Bandar Seri Begawan,BRN
Europe,South East Europe,Bulgaria,Sofia,BGR
Africa,Western Africa,Burkina Faso,Ouagadougou,BFA
Africa,Central Africa,Burundi,Bujumbura,BDI
Asia,South East Asia,Cambodia,Phnom Penh,KHM
Africa,Western Africa,Cameroon,Yaounde,CMR
Americas,North America,Canada,Ottawa,CAN
Africa,Western Africa,Cape Verde,Praia,CPV
Americas,West Indies,Cayman Islands,George Town,CYM
Africa,Central Africa,Central African Republic,Bangui,CAF
Africa,Central Africa,Chad,N'Djamena,TCD
Americas,South America,Chile,Santiago,CHL
Asia,East Asia,China,Beijing,CHN
Asia,South East Asia,Christmas Island,The Settlement,CXR
Asia,South East Asia,Cocos (Keeling) Islands,West Island,CCK
Americas,South America,Colombia,Bogota,COL
Africa,Indian Ocean,Comoros,Moroni,COM
Africa,Central Africa,"Congo, Republic of the",Brazzaville,COG
Oceania,Pacific,Cook Islands,Avarua,COK
Americas,Central America,Costa Rica,San Jose,CRI
Africa,Western Africa,Cote d'Ivoire,Yamoussoukro,CIV
Europe,South East Europe,Croatia,Zagreb,HRV
Americas,West Indies,Cuba,Havana,CUB
Asia,South West Asia,Cyprus,Nicosia,CYP
Europe,Central Europe,Czech Republic,Prague,CZE
Europe,Northern Europe,Denmark,Copenhagen,DNK
Africa,Eastern Africa,Djibouti,Djibouti,DJI
Americas,West Indies,Dominica,Roseau,DMA
Americas,West Indies,Dominican Republic,Santo Domingo,DOM
Americas,South America,Ecuador,Quito,ECU
Africa,Northern Africa,Egypt,Cairo,EGY
Americas,Central America,El Salvador,San Salvador,SLV
Africa,Western Africa,Equatorial Guinea,Malabo,GNQ
Africa,Eastern Africa,Eritrea,Asmara,ERI
Europe,Eastern Europe,Estonia,Tallinn,EST
Africa,Eastern Africa,Ethiopia,Addis Ababa,ETH
Americas,South America,Falkland Islands (Islas Malvinas),Stanley,FLK
Europe,Northern Europe,Faroe Islands,Torshavn,FRO
Oceania,Pacific,Fiji,Suva,FJI
Europe,Northern Europe,Finland,Helsinki,FIN
