"Data Source","World Development Indicators",

"Last Updated Date","2026-04-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","71.3997939027989","71.4733262679549","71.5803143159055","71.578741204324","71.6774583309799","71.8327114420167","71.8629131589148","71.8255964734276","71.7729005718706","71.7117539571975","71.6693611269993","71.6250730924974","71.6245581396681","71.6380808889365","71.6130746568212","71.6040400318372","71.4512221163857","71.2439746540605","71.0280389795414","70.6240399254999","70.2210028900889","70.4274863312083","69.6563318389666","70.3647243255521","69.5084715876456","69.1262638296441","68.6221573632251","67.9652915328568","67.5227149119284","67.0972760010641","65.9531086699195","66.0336622170916","66.3974325299701","68.8843682332027","68.8765866519093","68.8697267968812",
"Afghanistan","AFG","Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47.186","47.14","47.087","47.024","46.95","46.876","46.803","46.732","46.667","46.609","46.562","46.526","46.505","46.497","46.506","46.532","46.571","46.622","46.682","46.746","46.815","46.884","46.956","47.026","47.096","47.165","47.235","47.305","45.566","43.814","41.579","40.684","37.64","37.588","37.547","37.457",
"Africa Western and Central","AFW","Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75.583417104563","75.8444402342212","76.1087072513538","76.2806404970557","76.5032862102864","76.524525922197","76.3895166196523","76.3149335467267","76.2226771360199","76.1709104166281","76.0361948173514","75.9187296533086","75.7748678437172","75.593505060932","75.4574148500241","75.2727349205062","75.1160622018675","74.9617099369645","74.7001159810496","74.4715697496153","74.1832301620924","73.9780571833994","73.7538768967539","73.4325247070292","73.0712058228323","72.8422208986573","72.7843504736377","72.3718324500626","72.1629975322759","71.9748628373872","70.7263120149834","71.2544888133927","71.942794176349","72.4419891465295","72.3660915835332","72.2739047935004",
"Angola","AGO","Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","77.269","77.307","77.342","77.374","77.401","77.415","77.415","77.408","77.394","77.38","77.362","77.342","77.322","77.302","77.284","77.27","77.26","77.254","77.253","77.257","77.26","77.315","77.037","76.756","76.473","76.187","75.899","75.609","75.316","75.021","73.319","76.372","75.247","74.892","74.881","74.786",
"Albania","ALB","Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63.69","68.312","69.36","67.876","66.602","64.732","63.466","64.955","63.712","62.061","61.163","60.132","59.61","58.557","57.496","56.428","55.354","54.275","53.192","54.993","55.202","59.938","56.995","52.418","53.42","55.497","57.314","58.057","59.296","60.306","59.367","59.684","62.161","63.882","64.006","64.263",
"Andorra","AND","Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47.5264144914146","47.57320708563","47.7591518571219","47.9654057991042","48.1862303656913","47.9080934984627","47.7512806705911","47.5299426850461","47.290431188999","47.6697641512565","47.3056654811132","46.7371890431961","46.0500673137466","46.1717459759984","46.3130812135713","46.4860331731271","46.7169909941371","47.0049445534891","46.9466971430472","47.0598932207715","47.5224945392215","47.5181026204793","47.2457061326428","47.3099803244291","47.3232845358884","46.841180505807","46.7935669315435","45.9884438154688","45.429788280082","45.1299612287918","43.8797861563933","44.0698045091752","44.7280916997992","46.1663697037494","46.1546063257605","46.0276858379811",
"United Arab Emirates","ARE","Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74.354","74.648","74.952","75.482","75.811","76.16","76.032","75.355","74.875","74.601","74.508","74.649","74.99","75.471","76.058","76.708","77.223","77.32","77.059","76.596","76.643","76.869","77.046","77.334","77.672","77.997","78.446","78.759","79.108","79.467","78.781","77.054","77.242","78.367","78.484","78.594",
"Argentina","ARG","Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","59.093","59.969","60.717","61.495","62.009","61.511","62","62.778","63.084","62.542","62.315","61.651","60.149","61.036","61.943","61.511","61.795","61.114","60.428","60.78","60.187","60.651","60.362","59.962","59.444","59.232","59.02","58.808","59.595","60.289","56.023","60.358","61.484","62.286","61.862","61.913",
"Armenia","ARM","Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","65.93","65.84","65.547","65.05","64.482","63.909","63.373","62.879","62.514","62.292","62.139","61.898","61.551","61.23","60.964","60.768","60.674","60.727","60.444","61.895","61.958","61.814","61.55","61.54","61.527","61.538","61.642","61.462","61.329","58.757","61.259","61.946","58.817","59.987","59.917","59.388",
"American Samoa","ASM","Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63.894","63.285","63.002","62.597","63.077","63.678","63.649","63.26","63.133","62.908","63.282","63.444","63.508","63.715","63.577","64.509","64.85","65.275","65.564","65.502","65.48","65.514","65.245","65.025","64.787","65.076","64.952","65.248","65.804","66.088","65.028","66.147","66.89","67.023","66.719","66.537",
"Austria","AUT","Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","55.663","56.086","56.94","57.19","58.694","58.884","58.394","58.088","58.404","58.575","58.429","57.892","58.691","58.728","57.643","58.064","58.563","59.423","59.658","59.921","59.876","59.909","60.207","60.362","60.172","60.224","60.696","60.665","60.919","60.898","60.363","60.631","60.883","60.853","60.507","60.124",
"Azerbaijan","AZE","Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","69.533","69.731","72.303","75.515","78.573","80.495","80.508","79.953","78.887","78.122","76.8","74.597","72.482","70.534","67.969","66.542","64.801","61.787","60.823","60.983","60.864","61.19","61.594","61.896","62.761","63.537","64.652","65.038","65.399","65.227","67.223","63.7","64.776","64.345","63.901","63.288",
