"Data Source","Health Nutrition and Population Statistics",

"Last Updated Date","2026-02-02",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","Population ages 60-64, female","SP.POP.6064.FE","526","551","580","614","653","697","743","788","829","859","872","873","866","877","880","879","875","873","876","889","907","895","857","835","825","792","752","727","731","786","899","1059","1210","1356","1475","1569","1700","1817","1885","1920","1941","1952","1960","1993","2062","2170","2291","2405","2531","2664","2796","2956","3138","3322","3506","3691","3869","4023","4174","4314","4403","4445","4479","4518","4562",
"Africa Eastern and Southern","AFE","Population ages 60-64, female","SP.POP.6064.FE","1243980","1278287","1315928","1355012","1394511","1433948","1472607","1511029","1551130","1593286","1637628","1683365","1729368","1777858","1827894","1878342","1930954","1984636","2044102","2107375","2161425","2222426","2296815","2369683","2443056","2508195","2564465","2626692","2692438","2761322","2838852","2913870","3003344","3070143","3133928","3221853","3304734","3375807","3428448","3491703","3563497","3636654","3708045","3779217","3855883","3943636","4044740","4163360","4294669","4441711","4602870","4769325","4953166","5161975","5376399","5593743","5817541","6057106","6324284","6601758","6874631","7131467","7373624","7603913","7827079",
"Afghanistan","AFG","Population ages 60-64, female","SP.POP.6064.FE","81920","83227","84655","86188","87814","89544","91329","93151","95024","96940","98941","100966","103051","105279","107536","109707","111686","113590","115364","115164","110478","99613","91194","90106","91845","93240","92775","92222","93064","95657","96734","97921","105849","118668","128472","134108","138778","143538","148292","152776","153316","153147","160146","169608","176179","184067","194237","200879","207715","215872","219720","224014","229733","234717","241909","250615","259240","268570","278758","289739","301209","310081","317139","327552","340773",
"Africa Western and Central","AFW","Population ages 60-64, female","SP.POP.6064.FE","1092318","1109398","1124568","1139202","1155738","1175429","1198279","1223915","1251618","1280093","1308448","1336185","1363875","1393189","1424488","1457758","1492282","1528734","1567398","1607570","1647674","1687039","1727202","1764593","1799981","1837510","1876576","1917456","1960601","2006099","2051335","2097195","2145940","2195400","2245735","2297688","2350507","2405898","2462820","2517516","2572570","2630193","2688067","2745929","2806662","2870017","2931848","2987698","3035319","3079990","3139597","3217998","3308051","3413809","3528986","3639975","3750584","3868564","3992508","4120493","4249874","4384948","4530475","4685899","4846656",
"Angola","AGO","Population ages 60-64, female","SP.POP.6064.FE","49408","48224","46831","45396","43992","42688","41501","40432","39528","38842","38938","39930","41395","43218","45203","47269","49436","51794","54375","57177","60284","63700","67420","71540","76190","81402","87166","93390","99913","106518","113004","119343","125269","130796","136237","141444","146331","151028","155258","158826","161846","164461","166844","169464","172811","176947","181726","186751","191111","194097","197067","201248","206913","215014","225963","238518","251765","265620","279742","294048","308224","322138","336252","350568","364705",
"Albania","ALB","Population ages 60-64, female","SP.POP.6064.FE","20786","21138","21553","22034","22588","23150","23691","24254","24877","25525","26192","26974","27840","28610","29184","29494","29510","29460","29589","30119","31269","32900","34640","36167","37278","37718","38137","39521","41200","43007","44347","44789","45307","45947","46842","47632","48571","49798","51219","52839","54580","56186","57888","58842","58815","57891","56638","55975","56650","58760","61864","65114","67013","68613","70283","72285","74503","76773","78905","80744","82174","83295","83788","83322","82345",
"Andorra","AND","Population ages 60-64, female","SP.POP.6064.FE","138","148","163","185","218","253","279","296","306","312","322","334","346","361","381","402","421","441","465","489","516","553","613","694","784","845","889","933","964","1009","1069","1117","1150","1211","1235","1201","1214","1240","1222","1205","1232","1261","1285","1380","1499","1541","1582","1664","1720","1777","1777","1747","1729","1704","1689","1714","1802","1914","2037","2158","2279","2413","2572","2735","2862",
"Arab World","ARB","Population ages 60-64, female","SP.POP.6064.FE","1041375","1064225","1084308","1105853","1130909","1157316","1182102","1205182","1227984","1251108","1275229","1299241","1320791","1341720","1364228","1393643","1430417","1466298","1504652","1552477","1605160","1657492","1712212","1770738","1830899","1890483","1951030","2012408","2071297","2129975","2197273","2249927","2310922","2378271","2440826","2493357","2540118","2584221","2623734","2655294","2683557","2713455","2748271","2790952","2852060","2942744","3060578","3198379","3353064","3512193","3667675","3841321","4029755","4243565","4470062","4694941","4907384","5105298","5288731","5481300","5691904","5881845","6121551","6404194","6692218",
"United Arab Emirates","ARE","Population ages 60-64, female","SP.POP.6064.FE","830","830","830","831","836","845","857","873","942","1091","1288","1535","1844","2198","2554","2839","2868","2730","2694","2793","2963","3061","3118","3260","3495","3782","3960","4038","4165","4346","4565","4801","5017","5182","5300","5398","5823","6617","7486","8442","9566","10998","12852","15383","18743","22755","27060","31695","36078","38673","39851","41770","43950","46013","48443","51525","54726","56834","57328","57694","57749","59471","63159","70010","80602",
"Argentina","ARG","Population ages 60-64, female","SP.POP.6064.FE","327470","340074","352871","365648","378210","390558","402670","414319","425927","438265","451497","464979","479081","493773","507226","519294","529727","538295","546113","554571","564430","575696","588529","602321","616116","629414","642749","656293","668933","678973","685761","688966","688491","685885","683750","683540","685272","689023","694592","701784","710643","721491","734950","750965","768756","788030","808480","829891","851724","871540","889685","907324","922855","936498","950254","963579","975096","985302","993745","1002289","1011259","1017473","1023995","1034084","1043734",
