"Data Source","Health Nutrition and Population Statistics",

"Last Updated Date","2026-02-02",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","Population ages 60-64, male","SP.POP.6064.MA","453","488","524","559","597","637","681","731","780","812","825","821","804","798","782","761","740","727","724","733","740","734","736","760","782","774","746","725","729","769","848","967","1089","1208","1296","1349","1421","1479","1515","1544","1580","1624","1665","1719","1787","1878","1979","2077","2176","2270","2365","2489","2660","2845","3015","3169","3297","3377","3446","3514","3555","3592","3654","3736","3822",
"Africa Eastern and Southern","AFE","Population ages 60-64, male","SP.POP.6064.MA","1080405","1116034","1156871","1199737","1242512","1283811","1323031","1360691","1399050","1438699","1478874","1519447","1560540","1602785","1646550","1693082","1742054","1792991","1852641","1914582","1954614","1993798","2048016","2098055","2148288","2197832","2245168","2299217","2356862","2415493","2479121","2544168","2612407","2689953","2734033","2748680","2765889","2787746","2827506","2881604","2950565","3029162","3111546","3198061","3290248","3389884","3499016","3620379","3746211","3878080","4009675","4132311","4263254","4411338","4559443","4713381","4875377","5055243","5269086","5496343","5720586","5936018","6143095","6340995","6539402",
"Afghanistan","AFG","Population ages 60-64, male","SP.POP.6064.MA","94078","94786","95966","97367","98628","99666","100474","101020","101525","102327","103582","105183","107183","109565","111996","114270","116311","118233","119903","119349","114098","102472","93172","91293","92062","92192","90834","89828","90253","92297","92685","92975","99410","110454","118802","123403","127195","131041","134950","138740","138921","138334","144184","152018","156712","161913","168410","170980","172772","176588","179063","182964","188619","194651","202034","208999","215405","222427","229969","238202","246558","252736","258454","267909","280247",
"Africa Western and Central","AFW","Population ages 60-64, male","SP.POP.6064.MA","976115","990955","1004715","1018722","1034156","1052141","1072904","1095716","1120070","1145426","1171479","1197642","1223927","1251817","1281934","1314053","1347406","1382582","1419384","1456765","1493629","1529765","1566266","1599849","1631655","1665343","1700078","1736183","1773937","1813405","1851844","1890604","1932599","1975125","2017849","2061968","2106911","2154233","2204253","2253933","2304848","2358894","2415364","2474404","2537447","2603205","2667387","2725976","2771390","2806659","2852778","2916842","2994018","3092007","3203673","3314300","3428032","3548114","3672749","3799961","3924752","4055661","4199866","4353569","4514075",
"Angola","AGO","Population ages 60-64, male","SP.POP.6064.MA","48995","48898","48782","48713","48711","48773","48915","49173","49510","49837","49840","49669","49762","50079","50578","51257","52108","53246","54726","56519","58662","61156","64000","67147","70569","74273","78194","82115","86046","90115","94215","98388","102415","106020","109354","112602","115741","118712","121379","123607","125673","127860","130341","133538","137841","143218","149442","156165","162461","167698","172687","178127","184303","192065","201721","212535","224067","236123","248357","260642","272312","283395","294519","305393","315683",
"Albania","ALB","Population ages 60-64, male","SP.POP.6064.MA","17115","17568","17980","18385","18824","19326","19890","20513","21207","21952","22702","23503","24366","25189","25933","26555","27003","27431","27964","28638","29623","30871","32174","33211","33585","33226","32920","33559","35315","38929","42893","44836","45702","46430","47499","48964","50881","52732","54086","54990","55607","56034","56892","57546","57747","57407","56827","56596","57303","59129","61797","64562","66034","67250","68464","69919","71528","73178","74767","76147","77044","77524","77429","76398","74782",
"Andorra","AND","Population ages 60-64, male","SP.POP.6064.MA","139","148","165","189","222","263","298","320","337","350","363","382","408","435","466","496","526","554","580","604","630","662","699","748","797","858","916","963","1021","1081","1121","1190","1265","1328","1366","1371","1378","1377","1372","1330","1330","1356","1379","1488","1669","1793","1880","2010","2149","2223","2117","2006","1961","1900","1890","1906","1997","2134","2239","2359","2477","2599","2746","2905","3044",
"Arab World","ARB","Population ages 60-64, male","SP.POP.6064.MA","944810","964716","984165","1004645","1028116","1053150","1076218","1097521","1119617","1142347","1166246","1190707","1214069","1236048","1258690","1287961","1321269","1350952","1383602","1425957","1473522","1520531","1569571","1621917","1675118","1729117","1786143","1846222","1904863","1963772","2030106","2085062","2150666","2220270","2282834","2336300","2386788","2435524","2479447","2518978","2557929","2598305","2643396","2697394","2764508","2855114","2976862","3124499","3291923","3468131","3636793","3827289","4032545","4255237","4484219","4724657","4958527","5165120","5335845","5507329","5694053","5821449","6032094","6331852","6628096",
"United Arab Emirates","ARE","Population ages 60-64, male","SP.POP.6064.MA","935","965","990","1005","1008","1000","995","1001","1096","1332","1676","2138","2740","3449","4178","4793","4870","4545","4390","4485","4752","4926","4983","5116","5350","5646","6043","6556","7127","7722","8294","8797","9233","9641","10064","10573","12028","14367","16666","18891","21170","23950","27873","33053","39161","46585","55340","64597","72672","76918","77963","80269","83207","86028","89566","94301","99083","101739","101433","100621","99042","100351","105402","119034","137237",
"Argentina","ARG","Population ages 60-64, male","SP.POP.6064.MA","340212","350622","361671","372828","383333","392913","401886","410068","417333","423930","430489","436217","441165","446379","451457","456833","462020","466807","471871","477739","484848","493312","503496","514762","525941","536671","547228","557543","567170","575555","582524","588032","592011","594658","597279","600689","604440","608577","613436","619502","627225","637129","649596","664405","681334","700005","720126","741185","762673","783178","802060","820232","837163","852588","867939","882913","896488","909264","920328","931403","942429","949623","957507","969758","981116",
